"Dte.","Barris","TOTAL ","Total","Espanya","Italia","Francia","Romania","Regne Unit","Alemanya","Russia","Portugal","Ucraina","Paisos Baixos","Polonia","Bulgaria","Suecia","Belgica","Irlanda","Resta paisos",,"Total ","Marroc, el","Algeria","Senegal","Resta paisos",,"Total","Bolivia","Equador","Peru","Colombia","Hondures","Brasil","Argentina","Republica Dominicana","Venezuela","Estats Units, els","Mexic","Paraguai","Xile","Cuba","Uruguai","El Salvador","Resta paisos",,"Total","Pakistan","Xina","Filipines","India","Bangladesh","Georgia","Armenia","Japo","Nepal","Resta paisos",,"Oceania","Apatrides/No consta"
1,"1. el Raval",21.434,14.742,12.359,609,324,177,191,191,124,81,65,60,80,43,112,42,24,260,,678,570,34,5,69,,1.339,181,110,54,112,80,95,112,116,69,84,83,67,71,31,14,13,47,,4.655,1.099,146,2.180,265,684,21,23,28,40,169,,12,8
1,"2. el Barri G�tic",7.567,6.252,4.539,469,262,53,141,142,73,50,40,57,48,14,116,33,19,196,,147,107,11,2,27,,666,38,18,26,85,44,56,69,24,40,82,64,19,43,16,7,3,32,,482,126,81,121,36,5,14,5,17,4,73,,16,4
1,"3. la Barceloneta",7.547,6.657,5.320,391,125,49,94,110,85,39,42,43,56,30,59,19,12,183,,151,124,14,2,11,,529,44,32,24,51,13,85,40,14,35,48,41,15,33,25,11,5,13,,197,82,32,7,16,6,5,6,4,2,37,,11,2
1,"4. Sant Pere, Santa Caterina i la Ribera",11.244,9.398,7.042,658,352,82,261,192,113,72,47,82,57,26,83,35,34,262,,264,214,16,10,24,,917,58,38,58,96,14,73,95,89,70,101,90,16,40,15,22,7,35,,643,104,181,157,36,17,21,1,41,2,83,,19,3
2,"5. el Fort Pienc",16.760,14.970,13.575,416,250,67,75,104,94,52,43,33,37,21,34,15,17,137,,98,57,6,4,31,,951,72,70,84,86,62,96,89,37,104,37,72,23,38,27,19,14,21,,731,19,578,14,22,3,6,7,13,4,65,,2,8
2,"6. la Sagrada Fam�lia",27.863,24.747,22.989,490,225,118,87,107,131,104,69,37,74,34,44,23,17,198,,163,114,15,12,22,,1.981,214,132,191,224,114,161,132,78,164,57,137,141,74,55,32,15,60,,966,43,564,55,33,18,39,37,34,43,100,,3,3
2,"7. la Dreta de l'Eixample",23.496,21.365,18.977,619,463,63,178,246,134,83,48,77,60,32,63,47,39,236,,95,53,14,1,27,,1.363,98,54,109,155,61,139,96,31,105,147,127,60,64,29,18,13,57,,645,12,364,29,15,7,15,8,50,7,138,,15,13
2,"8. l'Antiga Esquerra de l'Eixample",22.494,20.270,18.442,508,258,65,146,153,135,70,60,64,48,22,55,18,19,207,,67,39,5,1,22,,1.347,107,62,110,172,45,108,108,45,113,105,111,53,59,31,12,22,84,,800,38,356,182,27,5,15,7,50,20,100,,5,5
2,"9. la Nova Esquerra de l'Eixample",30.909,27.690,25.931,489,248,144,88,117,138,78,73,39,51,18,25,23,19,209,,158,109,12,1,36,,1.930,162,117,220,212,100,197,141,68,156,78,133,89,85,58,26,16,72,,1.119,45,621,181,40,18,25,17,56,1,115,,6,6
2,"10. Sant Antoni",20.105,17.847,16.388,449,213,80,118,137,80,75,25,36,33,28,30,16,16,123,,87,66,2,3,16,,1.058,112,74,93,98,50,109,73,78,67,59,78,47,47,21,19,12,21,,1.099,137,372,339,56,59,18,11,23,19,65,,6,8
3,"11. el Poble Sec - AEI Parc Montju�c",20.316,16.742,14.967,537,267,128,145,141,72,62,42,29,71,22,49,26,18,166,,334,286,18,2,28,,1.388,146,110,75,127,111,108,83,234,66,58,54,57,55,23,13,40,28,,1.845,475,240,635,250,77,34,8,20,60,46,,7,0
3,"12. la Marina del Prat Vermell - AEI Zona Franca",565,521,516,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,,2,2,0,0,0,,29,0,5,1,4,1,0,0,2,5,0,1,5,2,1,2,0,0,,13,1,8,0,0,0,4,0,0,0,0,,0,0
3,"13. la Marina de Port",15.733,14.166,13.694,60,26,96,13,14,54,17,41,10,31,54,4,1,3,48,,215,159,25,6,25,,781,46,112,122,71,122,38,37,69,27,7,20,32,18,25,7,15,13,,570,68,217,183,45,14,13,8,2,1,19,,0,1
3,"14. la Font de la Guatlla",5.449,4.886,4.499,96,45,29,14,15,54,24,17,6,22,7,7,5,2,44,,41,29,4,2,6,,326,27,25,35,41,12,45,18,15,18,9,10,24,13,13,8,2,11,,195,23,90,13,22,0,20,7,2,2,16,,0,1
3,"15. Hostafrancs",8.288,7.232,6.694,136,76,65,23,35,53,24,10,10,25,21,6,2,3,49,,121,94,8,1,18,,553,102,65,54,53,28,40,21,42,21,15,15,33,20,8,10,3,23,,378,63,134,56,56,6,24,6,4,8,21,,4,0
3,"16. la Bordeta",9.805,8.948,8.646,71,40,44,12,21,18,7,28,5,9,11,3,3,2,28,,102,86,2,2,12,,482,69,50,43,52,38,26,23,39,20,9,14,43,12,19,8,4,13,,271,38,115,20,42,4,27,3,4,2,16,,1,1
3,"17. Sants - Badal",12.764,11.220,10.752,80,61,89,18,20,43,23,34,12,21,7,3,4,8,45,,127,85,16,0,26,,1.035,209,99,104,88,88,40,30,116,33,10,23,88,22,21,14,19,31,,381,59,157,50,24,4,39,4,7,8,29,,0,1
3,"18. Sants",21.616,19.404,18.355,247,144,122,53,73,79,53,57,23,29,17,22,14,8,108,,169,126,10,2,31,,1.412,244,139,162,127,94,78,70,111,88,31,52,92,30,33,13,18,30,,624,115,260,64,62,8,35,8,22,16,34,,5,2
4,"19. les Corts",24.567,23.032,22.100,214,119,78,41,76,90,61,40,15,34,17,17,22,4,104,,67,38,9,3,17,,907,88,69,86,106,56,100,46,37,70,40,53,48,32,24,15,6,31,,557,34,275,21,13,0,18,3,95,0,98,,1,3
4,"20. la Maternitat i Sant Ramon",12.726,11.843,11.444,95,53,31,15,29,54,18,25,3,18,8,4,4,1,41,,67,45,6,0,16,,635,55,45,74,71,27,46,42,53,46,9,47,51,14,19,11,9,16,,180,4,76,14,13,0,9,7,14,4,39,,1,0
4,"21. Pedralbes",6.312,5.887,5.332,89,179,21,29,43,74,17,16,11,3,16,6,11,0,40,,34,14,9,0,11,,232,36,6,20,22,7,15,23,5,8,18,23,16,5,2,1,14,11,,156,9,21,27,3,0,7,4,29,1,55,,1,2
5,"22. Vallvidrera, el Tibidabo i les Planes",2.356,2.266,2.030,45,43,11,28,20,23,5,3,15,6,2,7,4,0,24,,2,1,0,0,1,,72,6,6,4,4,1,2,5,0,3,12,3,7,9,2,3,1,4,,16,0,2,0,0,0,2,5,1,0,6,,0,0
5,"23. Sarri�",13.263,12.649,11.753,188,300,18,59,59,65,26,27,17,10,18,11,14,6,78,,40,17,10,3,10,,364,41,8,27,33,18,26,18,8,15,75,24,25,7,10,2,1,26,,203,10,45,24,9,0,8,2,70,0,35,,1,6
5,"24. les Tres Torres",8.836,8.397,8.021,72,79,3,21,45,33,20,6,15,8,10,6,11,2,45,,14,9,1,1,3,,303,30,14,20,13,19,19,21,4,22,79,16,20,7,5,4,7,3,,117,2,17,26,6,0,5,0,40,0,21,,4,1
5,"25. Sant Gervasi - la Bonanova",13.898,13.104,12.419,138,118,30,40,70,92,22,25,26,15,3,8,11,6,81,,52,25,7,1,19,,533,74,35,44,52,33,37,42,5,39,47,35,39,15,5,6,5,20,,207,7,78,42,8,4,7,5,15,1,40,,0,2
5,"26. Sant Gervasi - Galvany",25.891,24.353,22.961,312,261,50,90,131,126,51,38,48,22,18,32,27,8,178,,100,48,6,2,44,,1.050,110,40,80,93,52,68,53,29,70,139,74,88,49,21,12,30,42,,379,16,82,97,18,0,17,2,33,1,113,,5,4
5,"27. el Putxet i el Farr�",16.009,15.033,14.046,253,159,46,67,86,82,54,21,23,28,11,22,11,6,118,,57,31,6,4,16,,701,44,30,56,72,32,46,47,13,79,52,48,64,47,15,11,13,32,,213,15,94,15,10,0,1,1,20,0,57,,3,2
6,"28. Vallcarca i els Penitents",8.266,7.765,7.244,108,64,30,47,47,54,23,31,11,16,9,6,14,5,56,,29,22,0,0,7,,367,33,25,38,32,17,19,30,9,39,18,22,34,24,7,7,1,12,,100,11,42,5,11,0,5,5,10,0,11,,3,2
6,"29. el Coll",3.929,3.637,3.390,39,33,31,20,19,24,11,16,3,13,3,2,9,4,20,,31,25,2,0,4,,230,26,11,11,14,42,18,20,4,22,3,10,20,10,3,4,5,7,,30,5,4,3,5,0,1,0,3,0,9,,1,0
6,"30. la Salut",7.089,6.664,6.274,124,44,26,25,34,26,24,9,10,11,1,10,4,1,41,,36,17,7,4,8,,282,20,16,26,35,21,16,19,7,29,18,25,10,10,10,10,4,6,,105,8,40,5,7,1,8,3,7,0,26,,1,1
6,"31. la Vila de Gr�cia",27.602,25.327,22.600,847,449,102,244,218,89,136,38,73,66,30,51,46,30,308,,138,103,8,1,26,,1.547,105,67,120,137,70,139,121,36,130,174,125,79,84,32,34,29,65,,566,29,192,43,70,8,12,5,35,21,151,,16,8
6,"32. el Camp d'en Grassot i Gr�cia Nova",18.625,17.424,16.374,299,159,51,67,65,64,59,40,20,36,17,26,14,8,125,,67,51,1,1,14,,737,81,57,64,72,49,56,49,29,49,42,66,13,41,18,20,7,24,,382,25,165,11,34,2,24,28,19,36,38,,5,10
7,"33. el Baix Guinard�",13.754,12.692,12.042,174,76,65,41,28,55,28,45,12,28,15,6,7,5,65,,70,42,6,3,19,,719,69,59,100,79,54,49,57,17,48,13,30,58,15,23,18,11,19,,272,47,122,11,6,2,30,4,13,19,18,,1,0
